open,close,high,low,value,volume,begin,end
293.51,295.5,295.86,290.25,913152918.8,3110730,2022-06-01 10:00:00,2022-06-01 10:09:59
295.5,295.39,296.0,294.7,615907049.7,2083820,2022-06-01 10:10:00,2022-06-01 10:19:59
295.39,295.14,295.93,294.53,203158997.90000004,688430,2022-06-01 10:20:00,2022-06-01 10:29:59
295.28,294.99,295.3,294.0,205645501.29999998,698260,2022-06-01 10:30:00,2022-06-01 10:39:59
294.89,295.94,296.0,294.82,207767961.40000004,702880,2022-06-01 10:40:00,2022-06-01 10:49:59
295.94,295.76,296.7,295.5,204343414.9000001,690450,2022-06-01 10:50:00,2022-06-01 10:59:59
295.7,296.99,296.99,295.67,187471422.70000002,632390,2022-06-01 11:00:00,2022-06-01 11:09:59
296.99,297.72,297.93,296.86,266552823.59999996,896480,2022-06-01 11:10:00,2022-06-01 11:19:59
297.7,297.21,297.79,297.1,107834331.9,362650,2022-06-01 11:20:00,2022-06-01 11:29:59
297.24,297.94,297.95,297.2,116437191.49999997,391000,2022-06-01 11:30:00,2022-06-01 11:39:59
297.94,298.03,298.41,297.5,251402928.59999996,843760,2022-06-01 11:40:00,2022-06-01 11:49:59
298.04,298.17,298.2,297.7,117290634.09999998,393640,2022-06-01 11:50:00,2022-06-01 11:59:59
298.2,297.62,298.25,297.37,118867235.9,399180,2022-06-01 12:00:00,2022-06-01 12:09:59
297.62,297.46,297.72,297.23,78253842.2,263030,2022-06-01 12:10:00,2022-06-01 12:19:59
297.43,297.59,297.7,297.41,69462294.39999999,233440,2022-06-01 12:20:00,2022-06-01 12:29:59
297.59,297.28,297.59,297.21,76490903.9,257190,2022-06-01 12:30:00,2022-06-01 12:39:59
297.29,297.51,297.59,297.28,53244887.500000015,179040,2022-06-01 12:40:00,2022-06-01 12:49:59
297.51,297.43,297.59,297.42,32130920.000000004,107980,2022-06-01 12:50:00,2022-06-01 12:59:59
297.44,297.68,297.68,297.3,72198034.29999998,242660,2022-06-01 13:00:00,2022-06-01 13:09:59
297.67,297.51,297.68,297.4,44557032.8,149730,2022-06-01 13:10:00,2022-06-01 13:19:59
297.5,298.25,298.28,297.41,55519124.7,186350,2022-06-01 13:20:00,2022-06-01 13:29:59
298.19,298.25,298.28,297.89,94582025.50000003,317260,2022-06-01 13:30:00,2022-06-01 13:39:59
298.23,298.72,298.79,298.19,112385859.80000001,376420,2022-06-01 13:40:00,2022-06-01 13:49:59
298.77,298.7,298.83,298.31,106121664.09999996,355320,2022-06-01 13:50:00,2022-06-01 13:59:59
298.73,298.87,298.9,298.55,100566293.0,336600,2022-06-01 14:00:00,2022-06-01 14:09:59
298.86,299.24,299.36,298.77,216268570.79999992,723000,2022-06-01 14:10:00,2022-06-01 14:19:59
299.24,299.43,299.5,299.2,99456847.89999999,332200,2022-06-01 14:20:00,2022-06-01 14:29:59
299.49,299.3,299.5,299.22,69766854.20000002,233050,2022-06-01 14:30:00,2022-06-01 14:39:59
299.3,298.79,299.4,298.36,138213475.39999998,462370,2022-06-01 14:40:00,2022-06-01 14:49:59
298.7,299.2,299.27,298.5,64736471.999999985,216630,2022-06-01 14:50:00,2022-06-01 14:59:59
299.2,298.95,299.42,298.81,67058045.10000001,224150,2022-06-01 15:00:00,2022-06-01 15:09:59
298.96,298.85,299.25,298.82,71856583.50000001,240260,2022-06-01 15:10:00,2022-06-01 15:19:59
298.85,298.8,299.0,298.8,40168326.9,134390,2022-06-01 15:20:00,2022-06-01 15:29:59
298.79,298.16,298.88,298.0,92382032.49999999,309590,2022-06-01 15:30:00,2022-06-01 15:39:59
298.09,298.42,298.88,298.0,62892122.300000004,210780,2022-06-01 15:40:00,2022-06-01 15:49:59
298.52,298.8,298.83,298.34,65899481.9,220610,2022-06-01 15:50:00,2022-06-01 15:59:59
298.79,298.76,298.85,298.02,60365469.29999999,202190,2022-06-01 16:00:00,2022-06-01 16:09:59
298.85,298.78,298.88,298.71,42808833.2,143250,2022-06-01 16:10:00,2022-06-01 16:19:59
298.77,298.59,298.78,298.28,59409674.50000001,198900,2022-06-01 16:20:00,2022-06-01 16:29:59
298.59,298.78,298.78,298.41,30347108.599999998,101600,2022-06-01 16:30:00,2022-06-01 16:39:59
298.78,298.75,298.78,298.28,63563280.90000001,212870,2022-06-01 16:40:00,2022-06-01 16:49:59
298.77,298.48,298.78,298.35,45384390.7,151940,2022-06-01 16:50:00,2022-06-01 16:59:59
298.45,298.17,298.7,298.01,83283378.70000002,279090,2022-06-01 17:00:00,2022-06-01 17:09:59
298.17,297.5,298.23,297.5,111683098.79999998,375020,2022-06-01 17:10:00,2022-06-01 17:19:59
297.5,297.6,297.86,297.5,57598450.89999999,193500,2022-06-01 17:20:00,2022-06-01 17:29:59
297.52,297.21,297.67,297.01,132906561.1,446950,2022-06-01 17:30:00,2022-06-01 17:39:59
297.25,297.37,297.49,297.13,53132052.60000001,178700,2022-06-01 17:40:00,2022-06-01 17:49:59
297.37,297.78,297.89,297.34,83229886.50000001,279630,2022-06-01 17:50:00,2022-06-01 17:59:59
297.78,297.38,297.78,297.25,53277580.4,179100,2022-06-01 18:00:00,2022-06-01 18:09:59
297.35,297.29,297.5,297.15,53720085.300000004,180720,2022-06-01 18:10:00,2022-06-01 18:19:59
297.18,297.37,297.54,297.0,200289027.30000007,673990,2022-06-01 18:20:00,2022-06-01 18:29:59
297.37,297.69,297.69,297.29,112989472.29999998,379790,2022-06-01 18:30:00,2022-06-01 18:39:59
297.69,297.69,297.69,297.69,36035374.49999998,121050,2022-06-01 18:40:00,2022-06-01 18:49:59
297.7,297.81,299.33,297.0,429317448.00000006,1438650,2022-06-02 10:00:00,2022-06-02 10:09:59
297.81,297.9,298.46,296.5,236775131.40000007,795810,2022-06-02 10:10:00,2022-06-02 10:19:59
297.97,298.06,298.36,297.32,226960284.70000005,761540,2022-06-02 10:20:00,2022-06-02 10:29:59
298.0,296.56,298.06,296.01,291779967.3000001,982400,2022-06-02 10:30:00,2022-06-02 10:39:59
296.55,297.12,297.5,296.24,146545488.60000008,493650,2022-06-02 10:40:00,2022-06-02 10:49:59
