open,close,high,low,value,volume,begin,end
4050.0,4020.0,4058.5,4003.0,170827644.5,42501,2022-06-01 10:00:00,2022-06-01 10:09:59
4020.0,4046.5,4047.5,4015.0,78011031.5,19337,2022-06-01 10:10:00,2022-06-01 10:19:59
4047.5,4061.0,4074.0,4041.5,57751560.5,14226,2022-06-01 10:20:00,2022-06-01 10:29:59
4061.0,4065.0,4075.0,4055.0,42160274.5,10374,2022-06-01 10:30:00,2022-06-01 10:39:59
4062.0,4065.0,4070.0,4056.0,33294978.5,8192,2022-06-01 10:40:00,2022-06-01 10:49:59
4067.5,4063.0,4070.0,4055.0,21871354.5,5388,2022-06-01 10:50:00,2022-06-01 10:59:59
4059.0,4066.5,4076.0,4059.0,24897401.5,6116,2022-06-01 11:00:00,2022-06-01 11:09:59
4069.5,4092.5,4100.0,4069.5,79660968.5,19474,2022-06-01 11:10:00,2022-06-01 11:19:59
4092.5,4077.5,4094.5,4071.0,34025355.0,8338,2022-06-01 11:20:00,2022-06-01 11:29:59
4077.5,4091.0,4092.5,4076.0,25026449.0,6132,2022-06-01 11:30:00,2022-06-01 11:39:59
4089.5,4093.0,4095.0,4085.0,19938052.5,4878,2022-06-01 11:40:00,2022-06-01 11:49:59
4093.0,4090.0,4094.5,4088.0,7340177.0,1794,2022-06-01 11:50:00,2022-06-01 11:59:59
4090.5,4097.5,4099.0,4090.0,23820119.5,5817,2022-06-01 12:00:00,2022-06-01 12:09:59
4099.0,4102.0,4111.0,4097.0,54498005.0,13274,2022-06-01 12:10:00,2022-06-01 12:19:59
4100.5,4097.0,4102.0,4091.0,21412527.0,5229,2022-06-01 12:20:00,2022-06-01 12:29:59
4097.0,4100.0,4102.0,4095.0,12644807.0,3084,2022-06-01 12:30:00,2022-06-01 12:39:59
4098.0,4075.0,4100.0,4062.5,52222489.0,12813,2022-06-01 12:40:00,2022-06-01 12:49:59
4075.0,4070.0,4083.5,4063.0,12282625.0,3014,2022-06-01 12:50:00,2022-06-01 12:59:59
4070.0,4086.5,4086.5,4070.0,10060817.5,2466,2022-06-01 13:00:00,2022-06-01 13:09:59
4079.5,4094.5,4096.0,4079.5,10227796.5,2500,2022-06-01 13:10:00,2022-06-01 13:19:59
4094.5,4075.5,4095.5,4074.5,18066297.0,4418,2022-06-01 13:20:00,2022-06-01 13:29:59
4078.0,4087.0,4093.5,4075.5,16828576.5,4124,2022-06-01 13:30:00,2022-06-01 13:39:59
4085.5,4077.0,4086.5,4075.0,11068149.5,2713,2022-06-01 13:40:00,2022-06-01 13:49:59
4077.0,4093.0,4099.0,4073.0,30637413.5,7492,2022-06-01 13:50:00,2022-06-01 13:59:59
4090.5,4090.5,4100.0,4081.5,13635867.5,3330,2022-06-01 14:00:00,2022-06-01 14:09:59
4094.5,4101.0,4110.5,4091.0,27283724.0,6648,2022-06-01 14:10:00,2022-06-01 14:19:59
4104.5,4100.0,4105.0,4096.0,18890724.5,4606,2022-06-01 14:20:00,2022-06-01 14:29:59
4100.0,4101.5,4104.0,4092.0,9576716.0,2336,2022-06-01 14:30:00,2022-06-01 14:39:59
4100.5,4104.0,4105.0,4092.5,8121364.0,1980,2022-06-01 14:40:00,2022-06-01 14:49:59
4104.5,4116.5,4117.0,4101.0,18692980.5,4547,2022-06-01 14:50:00,2022-06-01 14:59:59
4116.5,4123.5,4124.0,4112.5,21829352.0,5299,2022-06-01 15:00:00,2022-06-01 15:09:59
4123.5,4120.0,4125.0,4106.5,35605177.0,8641,2022-06-01 15:10:00,2022-06-01 15:19:59
4122.0,4114.5,4124.0,4111.5,16560810.5,4022,2022-06-01 15:20:00,2022-06-01 15:29:59
4112.0,4106.0,4112.0,4101.0,13113155.0,3194,2022-06-01 15:30:00,2022-06-01 15:39:59
4106.0,4098.0,4107.0,4095.0,12796514.0,3121,2022-06-01 15:40:00,2022-06-01 15:49:59
4099.0,4119.5,4121.0,4083.5,40422722.0,9845,2022-06-01 15:50:00,2022-06-01 15:59:59
4119.5,4122.0,4124.0,4114.0,52870600.5,12833,2022-06-01 16:00:00,2022-06-01 16:09:59
4122.0,4116.0,4122.0,4107.5,46562364.5,11305,2022-06-01 16:10:00,2022-06-01 16:19:59
4119.0,4120.5,4125.0,4114.5,23749083.0,5764,2022-06-01 16:20:00,2022-06-01 16:29:59
4120.5,4107.5,4125.0,4106.5,19359941.0,4699,2022-06-01 16:30:00,2022-06-01 16:39:59
4106.5,4105.0,4110.5,4091.0,25024032.5,6102,2022-06-01 16:40:00,2022-06-01 16:49:59
4104.0,4107.0,4114.0,4104.0,11126571.0,2708,2022-06-01 16:50:00,2022-06-01 16:59:59
