open,close,high,low,value,volume,begin,end
907.8,905.0,908.0,900.4,54050386.80000001,59787,2022-06-01 10:00:00,2022-06-01 10:09:59
905.0,913.8,920.0,904.2,42527299.8,46624,2022-06-01 10:10:00,2022-06-01 10:19:59
913.4,914.2,915.8,911.0,19301125.400000002,21113,2022-06-01 10:20:00,2022-06-01 10:29:59
914.0,915.8,915.8,913.4,6062617.2,6628,2022-06-01 10:30:00,2022-06-01 10:39:59
915.8,917.6,918.0,915.2,7878245.6,8593,2022-06-01 10:40:00,2022-06-01 10:49:59
917.6,908.4,918.0,905.0,26462448.800000004,29060,2022-06-01 10:50:00,2022-06-01 10:59:59
908.2,909.0,911.6,908.0,16801363.6,18454,2022-06-01 11:00:00,2022-06-01 11:09:59
909.0,914.0,914.0,908.0,26059953.0,28602,2022-06-01 11:10:00,2022-06-01 11:19:59
913.6,908.6,914.0,907.0,15110795.399999999,16609,2022-06-01 11:20:00,2022-06-01 11:29:59
907.8,910.4,910.6,907.8,7154868.000000002,7870,2022-06-01 11:30:00,2022-06-01 11:39:59
910.4,910.0,910.6,909.4,1624585.4,1785,2022-06-01 11:40:00,2022-06-01 11:49:59
910.6,910.0,910.6,909.4,4590447.8,5045,2022-06-01 11:50:00,2022-06-01 11:59:59
910.0,907.8,910.0,907.8,12579989.0,13838,2022-06-01 12:00:00,2022-06-01 12:09:59
908.4,908.0,908.6,907.2,3605982.2,3971,2022-06-01 12:10:00,2022-06-01 12:19:59
907.8,908.2,909.6,907.2,7004359.000000001,7712,2022-06-01 12:20:00,2022-06-01 12:29:59
908.8,909.0,909.2,906.8,5538238.400000001,6098,2022-06-01 12:30:00,2022-06-01 12:39:59
909.0,905.0,909.0,902.2,33897639.6,37475,2022-06-01 12:40:00,2022-06-01 12:49:59
905.0,904.6,906.4,902.8,14438094.199999997,15973,2022-06-01 12:50:00,2022-06-01 12:59:59
904.6,904.4,906.4,903.0,12732215.200000001,14075,2022-06-01 13:00:00,2022-06-01 13:09:59
903.4,906.2,906.2,903.2,19007216.2,21019,2022-06-01 13:10:00,2022-06-01 13:19:59
906.0,904.0,906.0,903.6,10492852.999999998,11604,2022-06-01 13:20:00,2022-06-01 13:29:59
904.0,902.8,904.0,901.4,15121273.800000006,16755,2022-06-01 13:30:00,2022-06-01 13:39:59
902.8,902.0,903.0,901.0,9438047.400000002,10467,2022-06-01 13:40:00,2022-06-01 13:49:59
902.0,904.8,905.0,901.0,16084378.2,17809,2022-06-01 13:50:00,2022-06-01 13:59:59
905.0,906.8,907.6,903.0,12359631.200000001,13647,2022-06-01 14:00:00,2022-06-01 14:09:59
905.8,910.6,911.0,904.4,17725890.200000003,19499,2022-06-01 14:10:00,2022-06-01 14:19:59
910.6,911.0,911.8,910.4,5113842.200000001,5613,2022-06-01 14:20:00,2022-06-01 14:29:59
911.0,910.2,911.0,908.0,10554508.6,11601,2022-06-01 14:30:00,2022-06-01 14:39:59
909.6,908.8,910.2,907.4,3091442.5999999996,3401,2022-06-01 14:40:00,2022-06-01 14:49:59
908.2,908.6,910.2,908.0,4830384.800000001,5313,2022-06-01 14:50:00,2022-06-01 14:59:59
908.6,910.4,910.4,908.2,3607392.8,3967,2022-06-01 15:00:00,2022-06-01 15:09:59
910.6,908.2,910.8,907.6,8570729.2,9426,2022-06-01 15:10:00,2022-06-01 15:19:59
908.6,908.0,909.8,906.0,7814468.799999999,8603,2022-06-01 15:20:00,2022-06-01 15:29:59
908.0,907.0,908.2,906.0,2170233.2000000007,2392,2022-06-01 15:30:00,2022-06-01 15:39:59
907.0,907.4,907.8,906.4,1447266.0,1595,2022-06-01 15:40:00,2022-06-01 15:49:59
906.8,908.0,908.6,906.6,4409289.0,4857,2022-06-01 15:50:00,2022-06-01 15:59:59
908.0,908.0,909.2,906.8,1437629.8,1584,2022-06-01 16:00:00,2022-06-01 16:09:59
908.8,908.0,909.0,908.0,3374357.6,3715,2022-06-01 16:10:00,2022-06-01 16:19:59
907.8,902.8,907.8,902.6,15997749.999999998,17681,2022-06-01 16:20:00,2022-06-01 16:29:59
903.8,904.6,905.0,902.6,4727382.6000000015,5228,2022-06-01 16:30:00,2022-06-01 16:39:59
904.8,903.4,904.8,903.2,5950061.400000001,6584,2022-06-01 16:40:00,2022-06-01 16:49:59
903.6,903.6,903.8,903.0,5772418.799999999,6389,2022-06-01 16:50:00,2022-06-01 16:59:59
903.6,902.2,903.6,902.0,7748828.799999999,8584,2022-06-01 17:00:00,2022-06-01 17:09:59
902.4,902.8,903.4,902.0,1552736.0,1720,2022-06-01 17:10:00,2022-06-01 17:19:59
902.4,901.8,902.8,901.0,11215835.600000022,12440,2022-06-01 17:20:00,2022-06-01 17:29:59
901.8,900.8,902.0,900.0,30034104.799999982,33349,2022-06-01 17:30:00,2022-06-01 17:39:59
900.8,902.0,902.4,900.6,6257853.799999999,6944,2022-06-01 17:40:00,2022-06-01 17:49:59
902.0,901.8,902.6,900.0,15192563.0,16871,2022-06-01 17:50:00,2022-06-01 17:59:59
901.6,902.6,902.8,900.0,6598353.800000001,7322,2022-06-01 18:00:00,2022-06-01 18:09:59
902.6,905.0,905.0,902.2,7539708.399999999,8339,2022-06-01 18:10:00,2022-06-01 18:19:59
