open,close,high,low,value,volume,begin,end
11412.5,11370.0,11465.5,11353.0,18029219.0,1580,2022-06-01 10:00:00,2022-06-01 10:09:59
11372.5,11475.0,11526.0,11342.5,15520178.0,1359,2022-06-01 10:10:00,2022-06-01 10:19:59
11496.0,11421.5,11503.0,11421.5,6738490.0,588,2022-06-01 10:20:00,2022-06-01 10:29:59
11421.0,11380.0,11448.0,11351.0,14394333.5,1264,2022-06-01 10:30:00,2022-06-01 10:39:59
11380.0,11415.0,11433.0,11370.0,7581989.5,665,2022-06-01 10:40:00,2022-06-01 10:49:59
11419.5,11415.0,11434.0,11400.0,3217626.5,282,2022-06-01 10:50:00,2022-06-01 10:59:06
11428.5,11434.0,11434.5,11413.5,3895957.0,341,2022-06-01 11:00:00,2022-06-01 11:09:59
11434.0,11458.5,11470.0,11425.5,8528010.0,745,2022-06-01 11:10:00,2022-06-01 11:19:59
11467.0,11464.0,11468.0,11438.5,5876012.5,513,2022-06-01 11:20:00,2022-06-01 11:29:59
11462.0,11475.0,11498.5,11454.5,2958868.5,258,2022-06-01 11:30:00,2022-06-01 11:39:59
11475.0,11466.5,11493.5,11459.0,1906034.0,166,2022-06-01 11:40:00,2022-06-01 11:49:59
11466.0,11470.0,11470.0,11458.5,5695097.0,497,2022-06-01 11:50:00,2022-06-01 11:59:59
11470.0,11494.0,11495.5,11470.0,4284384.5,373,2022-06-01 12:00:00,2022-06-01 12:09:59
11490.0,11495.5,11497.0,11490.0,1379344.5,120,2022-06-01 12:10:00,2022-06-01 12:19:59
11495.0,11512.0,11512.0,11490.0,8997047.5,782,2022-06-01 12:20:00,2022-06-01 12:29:59
11504.5,11503.0,11511.0,11501.5,2680599.0,233,2022-06-01 12:30:00,2022-06-01 12:39:59
11503.0,11503.0,11503.0,11495.0,6956113.0,605,2022-06-01 12:40:00,2022-06-01 12:49:59
11503.0,11507.0,11509.5,11500.0,2208776.5,192,2022-06-01 12:50:00,2022-06-01 12:59:59
11507.5,11504.5,11509.0,11499.5,563620.0,49,2022-06-01 13:00:00,2022-06-01 13:09:59
11504.0,11495.0,11504.0,11495.0,5920535.5,515,2022-06-01 13:10:00,2022-06-01 13:19:59
11496.0,11499.0,11499.5,11495.0,4816741.0,419,2022-06-01 13:20:00,2022-06-01 13:29:59
