open,close,high,low,value,volume,begin,end
374.35,377.75,378.1,371.0,94317020.95000002,252267,2022-06-01 10:00:00,2022-06-01 10:09:59
377.75,378.9,378.95,376.2,58497438.150000006,154812,2022-06-01 10:10:00,2022-06-01 10:19:59
378.9,379.4,379.85,378.9,25860198.299999997,68162,2022-06-01 10:20:00,2022-06-01 10:29:59
379.4,379.45,379.55,377.45,18800601.4,49682,2022-06-01 10:30:00,2022-06-01 10:39:59
379.5,378.55,379.5,378.2,6648207.15,17539,2022-06-01 10:40:00,2022-06-01 10:49:59
378.55,377.45,378.55,377.15,10371971.85,27456,2022-06-01 10:50:00,2022-06-01 10:59:59
377.45,378.35,378.8,377.4,24246503.900000006,64190,2022-06-01 11:00:00,2022-06-01 11:09:59
378.3,379.15,379.45,377.55,17429577.3,45975,2022-06-01 11:10:00,2022-06-01 11:19:59
379.15,378.2,379.3,377.85,15705471.55,41506,2022-06-01 11:20:00,2022-06-01 11:29:59
378.2,378.35,378.35,378.0,8543048.3,22584,2022-06-01 11:30:00,2022-06-01 11:39:59
378.35,378.3,378.35,378.0,5589449.2,14778,2022-06-01 11:40:00,2022-06-01 11:49:59
378.2,378.35,378.35,378.15,3560208.5000000014,9413,2022-06-01 11:50:00,2022-06-01 11:59:59
378.35,379.1,379.4,378.3,32212182.850000005,85038,2022-06-01 12:00:00,2022-06-01 12:09:59
379.4,378.65,379.45,378.55,12930010.7,34108,2022-06-01 12:10:00,2022-06-01 12:19:59
378.65,379.2,379.2,378.5,14261827.649999997,37638,2022-06-01 12:20:00,2022-06-01 12:29:59
379.2,379.15,379.2,379.1,5480716.999999998,14456,2022-06-01 12:30:00,2022-06-01 12:39:59
379.15,379.0,379.15,378.85,10713600.899999999,28262,2022-06-01 12:40:00,2022-06-01 12:49:59
378.85,379.1,379.15,378.6,6611897.4,17448,2022-06-01 12:50:00,2022-06-01 12:59:59
379.1,379.0,379.1,378.35,40627415.349999994,107360,2022-06-01 13:00:00,2022-06-01 13:09:59
379.0,378.95,379.1,378.5,2416747.3,6380,2022-06-01 13:10:00,2022-06-01 13:19:59
378.95,379.1,379.15,378.8,1780774.05,4698,2022-06-01 13:20:00,2022-06-01 13:29:59
379.05,379.1,379.15,379.0,3960356.2,10446,2022-06-01 13:30:00,2022-06-01 13:39:59
379.15,379.15,379.15,379.0,4204199.25,11089,2022-06-01 13:40:00,2022-06-01 13:49:59
379.15,379.45,379.45,379.0,17234175.950000003,45437,2022-06-01 13:50:00,2022-06-01 13:59:59
379.45,379.6,379.6,379.25,10733714.099999998,28282,2022-06-01 14:00:00,2022-06-01 14:09:59
379.5,379.6,379.85,379.35,9466348.899999999,24931,2022-06-01 14:10:00,2022-06-01 14:19:59
379.6,380.1,380.1,379.55,28793887.75,75777,2022-06-01 14:20:00,2022-06-01 14:29:59
380.1,380.35,380.35,380.1,7418437.250000001,19506,2022-06-01 14:30:00,2022-06-01 14:39:59
380.3,379.95,380.35,379.4,15353077.0,40385,2022-06-01 14:40:00,2022-06-01 14:49:59
379.9,379.55,379.9,379.35,7885767.35,20777,2022-06-01 14:50:00,2022-06-01 14:59:59
379.55,380.1,380.1,379.35,5021855.350000001,13221,2022-06-01 15:00:00,2022-06-01 15:09:59
380.1,380.1,380.1,379.75,7278501.099999999,19150,2022-06-01 15:10:00,2022-06-01 15:19:59
380.1,379.45,380.1,379.35,8496835.05,22377,2022-06-01 15:20:00,2022-06-01 15:29:59
379.45,378.95,379.9,378.95,7271166.1,19175,2022-06-01 15:30:00,2022-06-01 15:39:59
378.95,378.55,379.2,378.45,5021962.35,13259,2022-06-01 15:40:00,2022-06-01 15:49:59
378.7,378.35,378.95,378.35,8544695.799999999,22572,2022-06-01 15:50:00,2022-06-01 15:59:59
378.6,378.7,378.7,378.35,5187060.2,13701,2022-06-01 16:00:00,2022-06-01 16:09:59
