open,close,high,low,value,volume,begin,end
117.5,118.61,118.67,117.0,356058798.5,3025080,2022-06-01 10:00:00,2022-06-01 10:09:59
118.6,119.86,119.9,118.4,280867357.7,2355870,2022-06-01 10:10:00,2022-06-01 10:19:59
119.86,119.5,119.99,118.9,185510402.7,1552220,2022-06-01 10:20:00,2022-06-01 10:29:59
119.5,120.68,120.8,119.41,373932477.9,3109750,2022-06-01 10:30:00,2022-06-01 10:39:59
120.62,120.52,120.75,120.15,197081338.70000002,1635280,2022-06-01 10:40:00,2022-06-01 10:49:59
120.5,120.29,120.6,120.01,101695642.20000005,845760,2022-06-01 10:50:00,2022-06-01 10:59:59
120.29,120.64,120.7,120.27,145432931.6,1206240,2022-06-01 11:00:00,2022-06-01 11:09:59
120.65,121.12,121.45,120.6,271584437.50000006,2242720,2022-06-01 11:10:00,2022-06-01 11:19:59
121.12,120.82,121.18,120.65,108674541.20000002,898780,2022-06-01 11:20:00,2022-06-01 11:29:59
120.82,120.92,120.92,120.55,59829993.7,495630,2022-06-01 11:30:00,2022-06-01 11:39:59
120.91,121.13,121.17,120.87,126442970.80000001,1044490,2022-06-01 11:40:00,2022-06-01 11:49:59
121.13,121.14,121.17,120.75,103080508.60000004,851780,2022-06-01 11:50:00,2022-06-01 11:59:59
121.14,120.98,121.31,120.8,101093803.79999998,834670,2022-06-01 12:00:00,2022-06-01 12:09:59
120.99,121.01,121.2,120.87,59028280.3,487460,2022-06-01 12:10:00,2022-06-01 12:19:59
121.01,120.89,121.05,120.8,57766666.0,477910,2022-06-01 12:20:00,2022-06-01 12:29:59
120.89,121.0,121.03,120.87,42295702.699999996,349630,2022-06-01 12:30:00,2022-06-01 12:39:59
121.0,120.85,121.03,120.76,54163524.9,448150,2022-06-01 12:40:00,2022-06-01 12:49:59
120.85,121.05,121.07,120.82,52119674.0,430740,2022-06-01 12:50:00,2022-06-01 12:59:59
121.07,121.1,121.3,121.0,64138909.30000001,529360,2022-06-01 13:00:00,2022-06-01 13:09:59
121.1,121.08,121.19,121.0,21481835.6,177420,2022-06-01 13:10:00,2022-06-01 13:19:59
121.1,121.08,121.19,121.0,25063152.19999999,206980,2022-06-01 13:20:00,2022-06-01 13:29:59
121.08,121.08,121.1,121.01,26210871.299999997,216510,2022-06-01 13:30:00,2022-06-01 13:39:59
121.08,121.1,121.19,121.03,55959191.89999997,461970,2022-06-01 13:40:00,2022-06-01 13:49:59
121.1,121.6,121.86,121.04,157021699.99999994,1291890,2022-06-01 13:50:00,2022-06-01 13:59:59
121.65,121.81,122.15,121.65,247633138.59999996,2031560,2022-06-01 14:00:00,2022-06-01 14:09:59
121.87,121.91,122.2,121.82,169825783.1,1391100,2022-06-01 14:10:00,2022-06-01 14:19:59
121.95,122.03,122.15,121.86,70120377.30000001,574790,2022-06-01 14:20:00,2022-06-01 14:29:59
122.03,121.81,122.03,121.8,42899915.1,351930,2022-06-01 14:30:00,2022-06-01 14:39:59
