open,close,high,low,value,volume,begin,end
417.95,417.0,418.0,415.2,2941802.2999999993,7078,2022-06-01 10:00:00,2022-06-01 10:09:59
417.0,416.1,418.0,416.1,828001.5,1986,2022-06-01 10:10:00,2022-06-01 10:19:59
416.15,415.85,416.8,415.25,1764849.7500000005,4244,2022-06-01 10:20:00,2022-06-01 10:29:59
415.75,417.0,417.1,415.75,752714.3,1808,2022-06-01 10:30:00,2022-06-01 10:39:59
417.0,416.95,417.85,416.15,688136.1499999999,1651,2022-06-01 10:40:00,2022-06-01 10:49:59
416.75,415.5,416.8,415.5,430402.65,1035,2022-06-01 10:50:00,2022-06-01 10:59:59
415.5,414.35,417.2,414.2,2475318.65,5958,2022-06-01 11:00:00,2022-06-01 11:09:59
414.4,415.8,416.75,414.0,1056100.7999999998,2545,2022-06-01 11:10:00,2022-06-01 11:19:59
415.55,414.25,415.8,414.25,776545.75,1870,2022-06-01 11:20:00,2022-06-01 11:29:59
414.3,414.9,415.35,413.6,1130316.8999999997,2728,2022-06-01 11:30:00,2022-06-01 11:39:59
414.9,415.25,415.5,414.7,669866.7,1614,2022-06-01 11:40:00,2022-06-01 11:49:59
415.25,414.85,415.45,414.75,342758.80000000005,826,2022-06-01 11:50:00,2022-06-01 11:59:59
414.9,415.05,415.5,414.8,277179.4,668,2022-06-01 12:00:00,2022-06-01 12:09:59
415.05,415.4,415.85,415.05,758433.15,1825,2022-06-01 12:10:00,2022-06-01 12:19:59
415.4,415.25,415.45,414.9,866714.2000000002,2087,2022-06-01 12:20:00,2022-06-01 12:29:59
415.2,414.95,415.2,414.9,612073.2000000001,1475,2022-06-01 12:30:00,2022-06-01 12:39:59
414.9,415.0,415.0,414.9,421993.50000000006,1017,2022-06-01 12:40:00,2022-06-01 12:49:59
415.0,415.0,416.4,414.8,2074480.2499999995,4995,2022-06-01 12:50:00,2022-06-01 12:59:59
414.95,414.55,416.35,414.0,673355.1000000001,1624,2022-06-01 13:00:00,2022-06-01 13:09:59
414.15,413.3,414.15,412.0,2650585.4,6416,2022-06-01 13:10:00,2022-06-01 13:19:59
413.3,413.4,413.8,413.0,1281339.6499999997,3100,2022-06-01 13:20:00,2022-06-01 13:29:59
413.5,412.6,413.5,412.05,653765.45,1584,2022-06-01 13:30:00,2022-06-01 13:39:59
412.65,412.0,412.7,412.0,675145.1,1638,2022-06-01 13:40:00,2022-06-01 13:49:59
412.1,412.95,412.95,411.7,957151.6499999999,2322,2022-06-01 13:50:00,2022-06-01 13:59:59
412.95,412.5,413.0,412.15,843320.7,2044,2022-06-01 14:00:00,2022-06-01 14:09:59
412.65,413.4,413.65,412.65,957495.25,2317,2022-06-01 14:10:00,2022-06-01 14:19:59
413.45,412.95,413.65,412.05,1758123.5500000003,4263,2022-06-01 14:20:00,2022-06-01 14:29:59
412.95,412.95,413.7,412.95,1511432.2000000002,3658,2022-06-01 14:30:00,2022-06-01 14:39:59
413.0,412.75,413.5,412.25,1964705.8499999999,4761,2022-06-01 14:40:00,2022-06-01 14:49:59
412.8,412.55,412.8,412.5,220745.90000000002,535,2022-06-01 14:50:00,2022-06-01 14:59:59
412.6,412.2,412.65,412.2,966157.5,2343,2022-06-01 15:00:00,2022-06-01 15:09:59
412.2,412.2,412.25,412.15,837619.5,2032,2022-06-01 15:10:00,2022-06-01 15:19:59
412.2,412.1,412.35,412.1,849910.8,2062,2022-06-01 15:20:00,2022-06-01 15:29:59
412.25,412.35,412.6,412.05,1152841.0,2796,2022-06-01 15:30:00,2022-06-01 15:39:59
412.2,412.75,412.75,412.15,479501.55000000005,1163,2022-06-01 15:40:00,2022-06-01 15:49:59
412.75,412.7,412.75,412.55,272334.44999999995,660,2022-06-01 15:50:00,2022-06-01 15:59:59
412.7,412.6,412.75,412.55,398953.25,967,2022-06-01 16:00:00,2022-06-01 16:09:59
412.6,412.9,412.95,412.25,491926.45000000007,1192,2022-06-01 16:10:00,2022-06-01 16:19:59
412.95,412.45,412.95,412.3,517252.5,1253,2022-06-01 16:20:00,2022-06-01 16:29:59
412.45,412.5,412.5,412.2,387582.3500000001,940,2022-06-01 16:30:00,2022-06-01 16:39:59
412.25,412.0,412.5,412.0,6878660.550000001,16695,2022-06-01 16:40:00,2022-06-01 16:49:59
412.05,412.2,412.2,412.0,871084.2000000001,2114,2022-06-01 16:50:00,2022-06-01 16:59:59
412.2,411.85,412.2,411.7,533751.05,1296,2022-06-01 17:00:00,2022-06-01 17:09:59
411.85,411.75,412.0,411.5,705288.7999999999,1713,2022-06-01 17:10:00,2022-06-01 17:19:59
411.7,412.4,412.6,411.7,398551.3,967,2022-06-01 17:20:00,2022-06-01 17:29:59
412.4,412.15,412.4,411.7,318900.39999999997,774,2022-06-01 17:30:00,2022-06-01 17:39:59
412.05,412.0,412.05,411.75,610287.75,1482,2022-06-01 17:40:00,2022-06-01 17:49:59
412.0,412.2,412.65,411.75,947641.95,2300,2022-06-01 17:50:00,2022-06-01 17:59:59
412.1,412.15,412.5,412.0,72951.2,177,2022-06-01 18:00:00,2022-06-01 18:09:59
