open,close,high,low,value,volume,begin,end
388.4,389.0,391.0,386.6,9639796.2,24816,2022-06-01 10:00:00,2022-06-01 10:09:59
389.0,391.1,392.0,388.4,8569451.099999998,21922,2022-06-01 10:10:00,2022-06-01 10:19:59
391.9,390.7,395.0,389.1,5949140.500000001,15197,2022-06-01 10:20:00,2022-06-01 10:29:59
390.7,392.3,392.6,389.6,1438925.9,3678,2022-06-01 10:30:00,2022-06-01 10:39:59
392.2,393.0,393.0,391.6,2089610.0,5327,2022-06-01 10:40:00,2022-06-01 10:49:59
392.9,392.4,393.0,392.1,1686102.8000000003,4294,2022-06-01 10:50:00,2022-06-01 10:59:59
392.2,394.4,394.8,392.1,5822422.0,14794,2022-06-01 11:00:00,2022-06-01 11:09:59
394.4,397.0,398.2,393.6,8652968.0,21864,2022-06-01 11:10:00,2022-06-01 11:19:59
397.0,395.7,397.3,395.1,5310171.7,13418,2022-06-01 11:20:00,2022-06-01 11:29:59
395.7,395.4,398.0,395.4,8065135.9,20317,2022-06-01 11:30:00,2022-06-01 11:39:59
395.4,396.0,396.0,395.4,1256577.3,3176,2022-06-01 11:40:00,2022-06-01 11:49:59
396.0,394.4,397.0,393.2,4637585.399999999,11732,2022-06-01 11:50:00,2022-06-01 11:59:59
394.6,395.0,396.6,394.6,2250032.0000000005,5690,2022-06-01 12:00:00,2022-06-01 12:09:59
395.1,393.8,395.9,393.7,2631825.8,6660,2022-06-01 12:10:00,2022-06-01 12:19:59
393.7,393.6,393.8,393.3,843612.9000000001,2143,2022-06-01 12:20:00,2022-06-01 12:29:59
393.7,395.1,396.8,393.0,3389735.5,8598,2022-06-01 12:30:00,2022-06-01 12:39:59
395.1,396.6,396.9,395.0,2105467.0,5313,2022-06-01 12:40:00,2022-06-01 12:49:59
396.6,394.5,396.9,394.5,1194300.3,3017,2022-06-01 12:50:00,2022-06-01 12:59:59
395.0,395.1,396.4,394.9,708171.3000000002,1791,2022-06-01 13:00:00,2022-06-01 13:09:59
395.0,395.6,396.4,394.8,525265.2999999999,1329,2022-06-01 13:10:00,2022-06-01 13:19:59
395.6,395.0,396.5,395.0,1232799.0,3114,2022-06-01 13:20:00,2022-06-01 13:29:59
395.8,395.0,395.8,395.0,441259.30000000005,1117,2022-06-01 13:30:00,2022-06-01 13:39:59
395.0,395.7,395.7,394.0,1615706.8,4091,2022-06-01 13:40:00,2022-06-01 13:49:59
395.3,395.7,397.0,395.1,5206712.4,13133,2022-06-01 13:50:00,2022-06-01 13:59:59
395.1,397.0,397.0,395.1,3503785.6,8835,2022-06-01 14:00:00,2022-06-01 14:09:59
396.3,396.6,397.0,395.7,2946951.0,7437,2022-06-01 14:10:00,2022-06-01 14:19:59
396.3,396.4,397.0,396.3,3300065.9000000004,8321,2022-06-01 14:20:00,2022-06-01 14:29:59
396.4,396.5,396.5,396.4,1864909.9,4704,2022-06-01 14:30:00,2022-06-01 14:39:59
396.5,396.8,396.9,396.3,4189944.3000000007,10569,2022-06-01 14:40:00,2022-06-01 14:49:59
396.3,396.6,396.9,395.5,3195941.1,8067,2022-06-01 14:50:00,2022-06-01 14:59:59
395.9,396.9,397.0,395.9,5010846.799999999,12627,2022-06-01 15:00:00,2022-06-01 15:09:59
396.9,396.9,396.9,396.1,4466441.600000001,11258,2022-06-01 15:10:00,2022-06-01 15:19:59
396.9,396.3,396.9,396.3,2057434.5000000002,5189,2022-06-01 15:20:00,2022-06-01 15:29:59
396.7,395.8,396.9,395.8,1510736.1,3811,2022-06-01 15:30:00,2022-06-01 15:39:59
395.9,393.9,396.0,393.8,5916391.199999999,14979,2022-06-01 15:40:00,2022-06-01 15:49:59
393.8,394.5,396.3,393.1,18704688.1,47352,2022-06-01 15:50:00,2022-06-01 15:59:59
394.5,394.4,394.5,394.3,1076499.0,2729,2022-06-01 16:00:00,2022-06-01 16:09:59
394.4,394.1,394.5,393.1,2893926.6000000006,7347,2022-06-01 16:10:00,2022-06-01 16:19:59
394.1,394.5,394.5,393.5,1644979.3,4172,2022-06-01 16:20:00,2022-06-01 16:29:59
394.5,393.7,394.5,393.4,616760.9,1566,2022-06-01 16:30:00,2022-06-01 16:39:59
393.8,393.6,393.9,393.2,978128.0999999999,2485,2022-06-01 16:40:00,2022-06-01 16:49:59
393.6,393.0,393.9,392.9,3224068.2,8197,2022-06-01 16:50:00,2022-06-01 16:59:59
393.5,393.0,393.9,392.9,14962029.600000001,38057,2022-06-01 17:00:00,2022-06-01 17:09:59
392.9,391.8,392.9,391.8,3513516.7999999993,8958,2022-06-01 17:10:00,2022-06-01 17:19:59
391.9,392.9,393.0,390.9,9287782.400000002,23728,2022-06-01 17:20:00,2022-06-01 17:29:59
392.9,392.4,392.9,392.1,226492.80000000005,577,2022-06-01 17:30:00,2022-06-01 17:39:59
392.3,391.3,392.3,390.1,2838892.9999999995,7260,2022-06-01 17:40:00,2022-06-01 17:49:59
391.3,392.4,392.4,390.9,945329.4000000003,2414,2022-06-01 17:50:00,2022-06-01 17:59:59
392.3,392.5,392.5,391.0,813466.0000000001,2076,2022-06-01 18:00:00,2022-06-01 18:09:59
392.3,392.8,393.0,392.3,1568388.0999999999,3995,2022-06-01 18:10:00,2022-06-01 18:19:59
392.9,392.9,393.0,392.4,879837.7000000001,2239,2022-06-01 18:20:00,2022-06-01 18:29:59
393.0,394.7,394.7,392.5,4225012.9,10728,2022-06-01 18:30:00,2022-06-01 18:39:59
398.0,398.0,398.0,398.0,18161536.0,45632,2022-06-01 18:40:00,2022-06-01 18:49:59
393.8,394.3,396.8,393.4,5159581.800000001,13062,2022-06-02 10:00:00,2022-06-02 10:09:59
394.5,392.3,394.7,391.9,5540563.5,14082,2022-06-02 10:10:00,2022-06-02 10:19:59
392.2,392.1,392.3,391.5,2802594.2,7149,2022-06-02 10:20:00,2022-06-02 10:29:59
392.1,390.9,392.2,388.2,16103880.899999999,41294,2022-06-02 10:30:00,2022-06-02 10:39:59
390.8,391.5,392.1,390.4,4603344.0,11757,2022-06-02 10:40:00,2022-06-02 10:49:59
391.5,388.0,391.5,387.8,6761287.0,17381,2022-06-02 10:50:00,2022-06-02 10:59:59
388.8,389.0,390.0,387.9,3466830.8,8905,2022-06-02 11:00:00,2022-06-02 11:09:59
388.9,389.0,389.8,387.1,4176112.9999999995,10756,2022-06-02 11:10:00,2022-06-02 11:19:59
389.0,387.5,389.0,387.4,1420025.7999999998,3657,2022-06-02 11:20:00,2022-06-02 11:29:59
387.8,386.8,387.8,385.8,8855088.8,22890,2022-06-02 11:30:00,2022-06-02 11:39:59
386.7,386.1,386.8,385.0,9992282.700000001,25910,2022-06-02 11:40:00,2022-06-02 11:49:59
386.1,385.1,386.2,385.1,1446272.4999999998,3751,2022-06-02 11:50:00,2022-06-02 11:59:59
385.1,383.3,385.4,382.6,7895912.499999999,20576,2022-06-02 12:00:00,2022-06-02 12:09:59
383.4,384.9,385.1,382.5,12745302.2,33225,2022-06-02 12:10:00,2022-06-02 12:19:59
384.7,385.9,385.9,384.0,4862461.8,12628,2022-06-02 12:20:00,2022-06-02 12:29:59
385.9,385.7,386.5,385.0,6687259.700000001,17337,2022-06-02 12:30:00,2022-06-02 12:39:59
385.6,385.6,385.7,385.5,786701.6000000001,2040,2022-06-02 12:40:00,2022-06-02 12:49:59
385.7,386.5,386.7,385.0,6342324.199999999,16439,2022-06-02 12:50:00,2022-06-02 12:59:59
386.5,386.3,387.0,385.8,685212.9,1772,2022-06-02 13:00:00,2022-06-02 13:09:59
386.5,386.2,386.5,385.7,233926.9,606,2022-06-02 13:10:00,2022-06-02 13:19:59
386.0,386.9,387.5,386.0,2300319.3,5946,2022-06-02 13:20:00,2022-06-02 13:29:59
386.9,387.7,387.7,386.7,2161048.1,5582,2022-06-02 13:30:00,2022-06-02 13:39:59
387.8,388.0,388.1,387.6,2073269.9,5344,2022-06-02 13:40:00,2022-06-02 13:49:59
388.0,387.9,388.1,387.9,1188041.1,3062,2022-06-02 13:50:00,2022-06-02 13:59:59
388.0,389.9,391.2,386.8,12338007.800000006,31691,2022-06-02 14:00:00,2022-06-02 14:09:59
389.9,389.7,390.0,389.5,775333.1000000001,1989,2022-06-02 14:10:00,2022-06-02 14:19:59
389.9,389.8,390.0,389.5,1015776.0,2607,2022-06-02 14:20:00,2022-06-02 14:29:59
389.9,389.8,390.0,389.5,291613.19999999995,748,2022-06-02 14:30:00,2022-06-02 14:39:59
389.8,389.9,390.0,389.8,3425484.0,8784,2022-06-02 14:40:00,2022-06-02 14:49:59
390.0,390.5,390.8,389.6,4090123.7,10488,2022-06-02 14:50:00,2022-06-02 14:59:59
390.5,389.9,391.0,389.5,18382137.1,47176,2022-06-02 15:00:00,2022-06-02 15:09:59
389.6,390.9,391.0,389.5,3122226.7,7993,2022-06-02 15:10:00,2022-06-02 15:19:59
391.0,393.0,394.0,390.9,6047629.4,15411,2022-06-02 15:20:00,2022-06-02 15:29:59
393.0,393.2,394.5,392.7,4317411.2,10966,2022-06-02 15:30:00,2022-06-02 15:39:59
393.2,392.7,393.8,392.3,2288740.6999999997,5825,2022-06-02 15:40:00,2022-06-02 15:49:59
392.7,393.1,393.8,392.3,1085684.3,2763,2022-06-02 15:50:00,2022-06-02 15:59:59
393.1,392.3,394.1,391.2,4912667.0,12503,2022-06-02 16:00:00,2022-06-02 16:09:59
392.3,393.0,393.0,392.3,1371901.1,3494,2022-06-02 16:10:00,2022-06-02 16:19:59
392.9,392.7,393.0,391.8,1523118.6999999997,3878,2022-06-02 16:20:00,2022-06-02 16:29:59
392.6,393.3,393.5,391.9,1789146.6,4553,2022-06-02 16:30:00,2022-06-02 16:39:59
393.3,393.3,393.3,392.8,320782.0,816,2022-06-02 16:40:00,2022-06-02 16:49:59
